Headword,Entry No.,No.,Syllabary,Stem,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1,Compare 2,Compare 3,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎪᎢ,8.4,8,ᎠᏓᏕᎪᎢ,,adadego’i,a-da-de-go-i,àdạdégó’i,à:dadé:gó:’i,verb (v.i.),3rd person singular present habitual,,it bounces,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏚᎦ,8.5,8,ᎭᏓᏚᎦ,,hadaduga,ha-da-du-ga,hạdạdùga,hadadù:ga,verb (v.i.),imperative with animate/ inanimate direct objects,,bounce!,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏗ,8.6,8,ᎤᏓᏗᏅᏗ,,udadinvdi,u-da-di-nv-di,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (v.i.),3rd person singular infinitive,,to bounce,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎦ,9.1,9,ᎠᏓᏕᎦ,,adadega,a-da-de-ga,àdạdéga,à:dadé:ga,verb (v.i.),3rd person singular,,he/she is limping,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎦᏓᏕᎦ,9.2,9,ᎦᏓᏕᎦ,,gadadega,ga-da-de-ga,gạdạdéga,gadadé:ga,verb (v.i.),1st person singular with animate/ inanimate object,,I’m limping,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏕᏒᎢ,9.3,9,ᎤᏓᏕᏒᎢ,,udadesv’i,u-da-de-sv-i,ùdạdésv̌’i,ù:dadé:sv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,he/she limped,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎪᎢ,9.4,9,ᎠᏓᏕᎪᎢ,,adadego’i,a-da-de-go-i,àdạdégó’i,à:dadé:gó:’i,verb (v.i.),3rd person singular present habitual,,he/she limps,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏚᎦ,9.5,9,ᎭᏓᏚᎦ,,hadaduga,ha-da-du-ga,hạdạdùga,hadadù:ga,verb (v.i.),imperative with animate/ inanimate direct objects,,walk with a limp!,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏗ,9.6,9,ᎤᏓᏗᏅᏗ,,udadinvdi,u-da-di-nv-di,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (v.i.),3rd person singular infinitive,,to limp,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏗᏅᏗᎭ,10.1,10,ᎠᏓᏗᏅᏗᎭ,,adadinvdiha,a-da-di-nv-di-ha,àdạdǐnv̂dịha,à:dadǐ:nv̂:diha,verb (v.i.),3rd person singular,,he/she is bouncing it,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,,,Word_0010.1.m4a,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎦᏓᏗᏅᏗᎭ,10.2,10,ᎦᏓᏗᏅᏗᎭ,,gadadinvdiha,ga-da-di-nv-di-ha,gạdạdǐnv̂dịha,gadadǐ:nv̂:diha,verb (v.i.),1st person singular with animate/ inanimate object,,I’m bouncing it,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏔᏅᎢ,10.3,10,ᎤᏓᏗᏅᏔᏅᎢ,,udadinvtanv’i,u-da-di-nv-ta-nv-i,ùdạdǐnv̂tạnv̌’i,ù:dadǐ:nv̂:tanv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,he/she bounced it,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,,,,Sentence_for_entry_0010.m4a,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ *ᎠᏓᏗᏅᏗᎭ* ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
