Headword,Entry No.,No.,Syllabary,Stem,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1,Compare 2,Compare 3,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᎦ,407.1,407,ᎠᏍᎦᎦ,,asgaga,a-s-ga-ga,àsgâga,à:sgâ:ga,verb (v.t.),3rd person singular,,he/she is reprimanding him/her,he/she is reproving him/her,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏥᏍᎦᎦ,407.2,407,ᏥᏍᎦᎦ,,jisgaga,tsi-s-ga-ga,jìsgâga,jì:sgâ:ga,verb (v.t.),1st person singular with animate/ inanimate object,,I’m reprimanding him/her,I’m reproving him/her,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏨᎢ,407.3,407,ᎤᏍᎦᏨᎢ,,usgajv’i,u-s-ga-tsv-i,ùsgâjv̌’i,ù:sgâ:jv̌:’i,verb (v.t.),3rd person singular non-progressive remote past tense,,he/she reprimanded him/her,he/she reproved him/her,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,Word_0407.3.m4a,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᎪᎢ,407.4,407,ᎠᏍᎦᎪᎢ,,asgago’i,a-s-ga-go-i,àsgâgó’i,à:sgâ:gó:’i,verb (v.t.),3rd person singular present habitual,,he/she reprimands him/her,he/she reproves him/her,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᎩ,407.5,407,ᎯᏍᎦᎩ,,hisgagi,hi-s-ga-gi,hìsgàgi,hì:sgà:gi,verb (v.t.),imperative with animate direct objects,,reprimand him/her!,reprove him/her!,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᎩ,407.6,407,ᎯᏍᎦᎩ,,hisgagi,hi-s-ga-gi,hịsgàgi,hisgà:gi,verb (v.t.),imperative with inanimate direct objects,,reprimand it!,reprove it!,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏍᏗ,407.7,407,ᎤᏍᎦᏍᏗ,,usgaysdi,u-s-ga-y-s-di,usgàysdi,u:sgà:ysdi,verb (v.t.),3rd person singular infinitive,,to reprimand someone,to reprove someone,,,,,,,,,,,,,,,,,,reprimand,reprove,,,,,,,Sentence_for_entry_0407.m4a,ᎠᏧᏣ ᏦᎳᏂ ᎤᏲᏍᏔᎾ‚ ᎤᏙᏓ *ᎤᏍᎦᏨᎢ.*,achű:ja jő:lani uyő:stana u:do:da *ù:sgâ:jv̌:’i*,When the boy broke the window‚ his father *reprimanded him.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᎭ,408.1,408,ᎠᏍᎦᎭ,,asgaha,a-s-ga-ha,àsgâha,à:sgâ:ha,verb (v.i.),3rd person singular,,he/she is afraid,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏥᏍᎦᎭ,408.2,408,ᏥᏍᎦᎭ,,jisgaha,tsi-s-ga-ha,jìsgâha,jì:sgâ:ha,verb (v.i.),1st person singular with animate/ inanimate object,,I’m afraid,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᎸᎢ,408.3,408,ᎤᏍᎦᎸᎢ,,usgalv’i,u-s-ga-lv-i,ùsgálv̌’i,ù:sgá:lv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,he/she was afraid,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᎰᎢ,408.4,408,ᎠᏍᎦᎰᎢ,,asgaho’i,a-s-ga-ho-i,àsgáhó’i,à:sgá:hó:’i,verb (v.i.),3rd person singular present habitual,,he/she becomes afraid,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᏯ,408.5,408,ᎯᏍᎦᏯ,,hisgaya,hi-s-ga-ya,hịsgǎya,hisgǎ:ya,verb (v.i.),imperative with animate/ inanimate direct objects,,be afraid!,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏍᏗ,408.6,408,ᎤᏍᎦᏍᏗ,,usgasdi,u-s-ga-s-di,usgàsdi,u:sgà:sdi,verb (v.i.),3rd person singular infinitive,,to be afraid,,,,,,,,,,,,,,,,,,,afraid,,,,,,,,Sentence_for_entry_0408.m4a,Ꮎ ᎤᏔᎾ ᎩᏟ *ᏥᏍᎦᎭ.*,na ű:taná gi:hlí *jì:sgâ:ha*,*I’m afraid* of that big dog.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏟᎦ,409.1,409,ᎠᏍᎦᏟᎦ,,asgahlga,a-s-ga-tli-ga,àsgạhlga,à:sgahlga,verb (v.t.),3rd person singular,,he/she is biting him/her,he/she is biting it,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏥᏍᎦᏟᎦ,409.2,409,ᏥᏍᎦᏟᎦ,,jisgahlga,tsi-s-ga-tli-ga,jìsgạhlga,jì:sgahlga,verb (v.t.),1st person singular with animate/ inanimate object,,I’m biting him/her,I’m biting it,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏟᏨᎢ,409.3,409,ᎤᏍᎦᏟᏨᎢ,,usgahljv’i,u-s-ga-tli-tsv-i,ùsgạhljv̌’i,ù:sgahljv̌:’i,verb (v.t.),3rd person singular non-progressive remote past tense,,he/she bit him/her,he/she bit it,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏟᎪᎢ,409.4,409,ᎠᏍᎦᏟᎪᎢ,,asgahlgo’i,a-s-ga-tli-go-i,àsgạhlgó’i,à:sgahlgó:’i,verb (v.t.),3rd person singular present habitual,,he/she bites him/her,he/she bites it,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᎳ,409.5,409,ᎯᏍᎦᎳ,,hisgala,hi-s-ga-la,hìsgạla,hì:sgala,verb (v.t.),imperative with animate direct objects,,bite him/her!,,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᎳ,409.6,409,ᎯᏍᎦᎳ,,hisgala,hi-s-ga-la,hịsgạla,hisgala,verb (v.t.),imperative with inanimate direct objects,,bite it!,,,,,,,,,,,,,,,,,,,bite,,,,,,,,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᎵᏍᏗ,409.7,409,ᎤᏍᎦᎵᏍᏗ,,usgalsdi,u-s-ga-li-s-di,usgạlsdi,u:sgalsdi,verb (v.t.),3rd person singular infinitive,,to bite him/her,to bite something,,,,,,,,,,,,,,,,,,bite,,,,,,,Word_0409.7.m4a,Sentence_for_entry_0409.m4a,ᎠᏍᎦᏯ *ᎤᏍᎦᎵᏍᏗ* ᎤᏁᏟᏔᏅ ᎩᏟ.,asgaya *u:sgalsdi̋* ù:né:lhtanv́ gi:hli,The dog tried *to bite* the man.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏂ,410.1,410,ᎠᏍᎦᏂ,,asgahni,a-s-ga-ni,ạsgạhni,asgahni,noun,singular,,evil,sin,,,,,,,,,,,,,,,,,,sin,evil,,,àsgạnv̂ga,,,Word_0410.1.m4a,Sentence_for_entry_0410.m4a,ᎦᏙ ᎤᏍᏗ ᏭᏔᏅ *ᎠᏍᎦᏂ?*,gado ű:sdi wǔ:tánv̋ *asgahni*,What is the biggest *sin?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᎾᎢ,411.1,411,ᎠᏍᎦᎾᎢ,,asgana’i,a-s-ga-na-i,ạsgạna̋’i,asgana̋:’i,noun,singular,,sinner,,,,,,,,,,,,,,,,,,,sinner,,,,ạsgạhni,àsgạnv̂ga,,,Sentence_for_entry_0411.m4a,ᎩᎶᎢᏍ ᎡᎭ *ᎠᏍᎦᎾ* ᏂᎨᏒᎾ?,kilő:’ís ě:ha *asgana* nigé:sv̋:na,Is there anyone living who is not a *sinner?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏂᏍᎦᎾᎢ,411.2,411,ᎠᏂᏍᎦᎾᎢ,,anisgana’i,a-ni-s-ga-na-i,ạnisgạna̋’i,ani:sgana̋:’i,noun,plural,,sinners,,,,,,,,,,,,,,,,,,,sinner,,,,ạsgạhni,àsgạnv̂ga,,,Sentence_for_entry_0411.m4a,ᎩᎶᎢᏍ ᎡᎭ *ᎠᏍᎦᎾ* ᏂᎨᏒᎾ?,kilő:’ís ě:ha *asgana* nigé:sv̋:na,Is there anyone living who is not a *sinner?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏅᎦ,412.1,412,ᎠᏍᎦᏅᎦ,,asganvga,a-s-ga-nv-ga,àsgạnv̂ga,à:sganv̂:ga,verb (v.t.),3rd person singular,,he/she is committing a crime,he/she is committing a sin,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᏥᏍᎦᏅᎦ,412.2,412,ᏥᏍᎦᏅᎦ,,jisganvga,tsi-s-ga-nv-ga,jìsgạnv̂ga,jì:sganv̂:ga,verb (v.t.),1st person singular with animate/ inanimate object,,I’m committing a crime,I’m committing a sin,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏅᏨᎢ,412.3,412,ᎤᏍᎦᏅᏨᎢ,,usganvjv’i,u-s-ga-nv-tsv-i,ùsgạnv̂jv̌’i,ù:sganv̂:jv̌:’i,verb (v.t.),3rd person singular non-progressive remote past tense,,he/she committed a crime,he/she committed a sin,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏅᎪᎢ,412.4,412,ᎠᏍᎦᏅᎪᎢ,,asganvgo’i,a-s-ga-nv-go-i,àsgạnv̂gó’i,à:sganv̂:gó:’i,verb (v.t.),3rd person singular present habitual,,he/she commits a crime,he/she commits a sin,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏍᎦᏅᎩ,412.5,412,ᎯᏍᎦᏅᎩ,,hisganvgi,hi-s-ga-nv-gi,hịsgạnv̀gi,hisganv̀:gi,verb (v.t.),imperative with animate/ inanimate direct objects,,commit a crime!,commit a sin!,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏍᎦᏅᎢᏍᏗ,412.6,412,ᎤᏍᎦᏅᎢᏍᏗ,,usganvysdi,u-s-ga-nv-y-s-di,usgạnv̀ysdi,u:sganv̀:ysdi,verb (v.t.),3rd person singular infinitive,,to commit a crime,to commit a sin,,,,,,,,,,,,,,,,,,crime,sin,,,ạsgạhni,,,,Sentence_for_entry_0412.m4a,Ꮭ *ᎤᏍᎦᏅᎢᏍᏗ* ᏳᏚᎵᎭ.,tlá *u:sganv̀:sdi̋* yu:dú:lihâ,He doesn’t want *to commit a crime.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Durbin Feeling,,,Cherokee National Treasure. Renowned Cherokee linguist.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏯ,413.1,413,ᎠᏍᎦᏯ,,asgaya,a-s-ga-ya,ạsgạya,asgaya,noun,singular,,man,,,,,,,,,,,,,,,,,,,man,,,,,,,Word_0413.1.m4a,Sentence_for_entry_0413.m4a,ᎯᏲᎵᎦᏍ Ꮎ *ᎠᏍᎦᏯ?*,hiyő:lì:gás ná *asgaya*,Do you recognize that *man?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏂᏍᎦᏯ,413.2,413,ᎠᏂᏍᎦᏯ,,anisgaya,a-ni-s-ga-ya,ạnisgạya,ani:sgaya,noun,plural,,men,,,,,,,,,,,,,,,,,,,man,,,,,,,,Sentence_for_entry_0413.m4a,ᎯᏲᎵᎦᏍ Ꮎ *ᎠᏍᎦᏯ?*,hiyő:lì:gás ná *asgaya*,Do you recognize that *man?*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏍᎦᏰᎬᏍᏓ,414.1,414,ᎠᏍᎦᏰᎬᏍᏓ,,asgayesgvsda,a-s-ga-ye-s-gv-s-da,ạsgạyegv̋sda,asgaye:gv̋:sda,adjective,singular,,handsome,,,,,,,,,,,,,,,,,,,handsome,,,,,,,Word_0414.1.m4a,Sentence_for_entry_0414.m4a,*ᎠᏍᎦᏰᎬᏍᏓ* ᎣᏍᏗᏁᎵ‚ ᎤᏛᏅ ᎠᎨᏯ.,*asgayegv̋:sda* o:sdi:ne̋:li ù:dv:hnv́ agě:hya,"The woman said‚ ’My husband is *handsome.’""",,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
