,,TAHLEQUAH,,ᏓᎵᏆ,
,,"“We want first-language speakers,” Paden said.",,"“ᏙᎦᏚᎵ ᎢᎬᏱ ᏣᎳᎩ ᎠᏂᏬᏂᏍᎩ,” ᎠᏗᏍᎬ Paden.",
,,"“Now that doesn’t mean that we don’t mind somebody having two first languages, but one of them has to be Cherokee.",,"“ᏝᏃ ᎪᎱᏍᏗ ᏲᏤᎵ ᎩᎶ ᏔᎵ ᎢᏧᏓᎴ ᏗᎦᏬᏂᏍᎩ ᏱᎩ, ᎠᏎᏃ ᏌᏊ ᎨᏒ ᎾᏍᎩ ᏣᎳᎩ ᎦᏬᏂᏍᎩ ᎢᏳᎵᏍᏙᏗ.",
,,We never want a time on this earth there’s not a first-language Cherokee speaker.”,,ᏝᏃ ᏱᎦᏚᎵ ᎾᎿ ᎢᎴᎯᏳ ᎠᎭᏂ ᎡᎶᎯ ᎾᏍᎩ ᎢᎬᏱ ᏣᎳᎩ ᎠᏂᏬᏂᏍᎩ ᎾᏁᎲᎾ ᎢᏳᎵᏍᏙᏗᎢ.”,
,,"The language center is named after the late linguist Durbin Feeling, widely considered the greatest modern contributor to the preservation of the Cherokee language.",,"ᎾᏍᎩᏃ ᎦᏬᏂᎯᏍᏗ ᎠᏰᏟ ᏧᏙᏢ ᏚᏃᏍᏔᏅ ᎾᏍᎩ ᎦᏬᏂᎯᏍᏗ ᎤᎦᏙᎲᏒᎯ Durbin Feeling, ᎠᎦᏅᏛ ᏂᎪᎯᎸ ᎢᎦᏎᏗ ᎠᎴ ᎠᎵᏍᎪᎸᏗᏍᎩ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ.",
,,Feeling died in August 2020 at age 74.,,Feeling ᎤᏲᎱᏒ ᎾᎿ August 2020 74 ᎢᏳᏕᏘᏴᏓ ᎨᏒᎢ.,
,,"According to the tribe, Feeling wrote the Cherokee dictionary, added the syllabary on a word processor in the 1980s, developed hundreds of Cherokee language teaching materials and started the process to add the Cherokee language on Unicode, which today allows smartphones to offer the syllabary.",,"ᏚᎾᏓᏙᎵᏤᎸᏃ ᎾᎿ ᎠᏂᎾᏍᏓᏢᎢ, Feeling ᎤᏬᏪᎳᏅ ᏣᎳᎩ ᏗᎧᏁᎢᏍᏗ ᏗᎪᏪᎵ, ᏫᏗᎪᏪᎵ ᎾᎿ ᏗᎪᏪᎶᏙᏗ ᎧᏁᎢᏍᏗ ᏚᏃᏴᎬ ᎾᏍᎩ 1980’s ᏧᏚᏕᏘᏴᏌᏗᏒᎢ, ᎠᎴ ᏚᏬᏢᏁ ᏍᎪᎯᏧᏈ ᏗᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᏗᏕᏲᏙᏗ ᏗᎪᏪᎵ ᎠᎴ ᎤᎴᏅᎮ ᏫᏗᎪᏪᎵᏍᎬ ᏣᎳᎩ ᏗᎧᏁᎢᏍᏗ ᎾᎿ Unicode, ᎾᏍᎩ ᎪᎯ ᏥᎩ ᎠᎵᏍᎪᎸᏗᏍᎪ smartphones ᎤᎾᎵᏍᎪᎸᏙᏗ ᏚᏃᏴᎬ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᏗᎪᏪᎶᏙᏗ.",
,,"In 2019, the CN Tribal Council passed the Durbin Feeling Preservation Act to invest $16 million in the Cherokee language, $5 million of which was earmarked for the new language center.",,"ᎾᎿ 2019, ᎾᏍᎩ ᏣᎳᎩ ᎠᏰᎵ ᎠᏂᎳᏍᏓᏢ ᏗᏂᎳᏫᎩ ᎤᏂᎶᎯᏍᏔᏅ Durbin Feeling ᏚᏙᎥ ᎤᎾᎵᏏᏅᏙᏗ ᎠᎴ ᎤᏂᏗ 16 million ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ, 5 million ᎾᏍᎩ ᎠᏎᎸ ᎾᎿ ᎢᏤ ᎦᏬᏂᎯᏍᏗ ᎤᏙᏢᏒᎢ.",
,,"“We want this accessible to everybody,” Paden said.",,"ᎣᎦᏚᎵ ᎯᎠ ᏂᎦᏓ ᎤᏅᏙᏗ ᎾᏂᎥᎢ,” ᎠᏗᏍᎬ Paden.",
,,"“We have language technology – we’re making cartoons, we’re making apps.",,"“ᎣᎩᎭ ᎦᏬᏂᎯᏍᏗ ᎢᏤ ᎠᎦᏙᎲᏒᎢ---ᏙᏦᏢᏍᎪ cartoons, ᎠᎴ ᏙᏦᏢᏍᎦ appsᎢ.",
,,"We’ve got to bring the language into this century by all means, but to keep the remnants of … these sort of philosophies that we have as Cherokee people.",,"ᎠᏎᎮᏅ ᎥᎩᏲᎯᏍᏗ ᎦᏬᏂᎯᏍᏗ ᎾᎿ ᎯᎠ ᎤᏕᏘᏴᏌᏗᏒ ᏙᎯᏳᎢ, ᎠᏎᏅ ᎢᎩᏍᏆᏂᎪᏙᏗ ᎤᏘᏱᏙᎸᎢ……… ᎯᎠ ᏳᏍᏗᏓᏂ ᎢᎪᎯᏳᏐ ᎾᏍᎩ  ᎢᏗᏣᎳᎩ ᎢᏗᏴᏫ.",
,,It has to still be within our language and it has to be within our people.,,ᎾᏍᎩᏃ ᎭᏫᎾᏗᏢ ᎢᎩᏬᏂᎯᏍᏗ ᎠᎴ ᎢᎦᏤᎵ ᎠᏂᏴᏫ.,
,,"If we do that, we will always be Cherokee.”",,"ᎢᏳᏃ ᎾᏍᎩ ᏱᏂᎦᏛᏁᎵ, ᏂᎪᎯᎸ ᎢᏗᏣᎳᎩ ᎨᏎᏍᏗ.”",
