,,TAHLEQUAH,,ᏓᎵᏆ,
,,"The curriculum is Oklahoma Department of Education grade-level standards, but instruction is taught exclusively in the Cherokee language, both written and spoken.",,"ᏧᎾᏕᎶᏆᏍᏙᏗ ᎾᎿ Oklahoma ᎤᏙᏢᏒ ᏗᎾᏕᎶᏆᏍᏗ ᎾᏍᎩ ᏗᏂᏂᏙᎯ ᏚᎾᏙᎵᏤᎲᎢ, ᎠᏎᏍᎩᏂ ᏓᎾᏕᏲᎲᏍᎬ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎤᏩᏌ, ᎢᏧᎳ ᎪᏪᎶᏗ ᎠᎴ ᎦᏬᏂᎯᏍᏗ.",
,,The Sequoyah syllabary is used for all print materials.,,ᎾᎿ ᏏᏉᏯ ᏧᏬᏪᎳᏅ ᏓᏅᏗᏍᎨᏍᏗ ᏂᎦᎥ ᎠᏃᏪᎳᏅᎲᏍᎬᎢ.,
,,"Former immersion school student Ethan Winn, now 21, was impressed with the language center even in its construction phase.",,"ᎦᏳᎳ ᎤᎶᏒ ᏧᏕᎶᏆᎥ Ethan Winn, ᏃᏊ 21 ᎢᏳᏕᏘᏴᏓ, ᎢᎦᎢ ᎠᏍᏆᏂᎪᏍᎬ ᎾᎿ ᎦᏬᏂᎯᏍᏗ ᎠᏰᎵ ᎠᎴ ᎾᏍᏊ ᎠᏂᏱᎵᏒᏊ ᎠᎾᏁᏍᎨᏍᎬᎢ.",
,,"“It means a lot, the thought they’re putting into this to make it all Cherokee,” he said.",,"“ᎤᎪᏓ ᎠᏓᏅᏖᏗ, ᎯᎠ ᏥᎾᏅᏁ ᏂᎦᏓ ᏣᎳᎩ,” ᎠᏗᏍᎬᎢ.",
,,"“Here, it means so much to see there is going to be essentially a whole new generation that’s going to grow up knowing how to be Cherokee.”",,"“ᎠᎭᏂ, ᎢᎦ ᎤᎵᏍᎨᏓ ᎠᎪᏩᏛᏗ ᏂᏓᎦᎵᏍᏔᏅᏍᎬᎢ ᎤᎵᏍᎨᏓ ᏂᎦᏓ ᎢᏤ ᎤᎾᏁᎳᏔᏅᏒ ᎾᏍᎩᎾ ᏙᏛᎾᏛᏏ ᎤᎾᏅᏖᏍᏗ ᎢᏳᎾᏛᏗ ᎠᏂᏣᎳᎩ ᎨᏒᎢ.”",
,,An important goal for Paden and other language advocates is creating new speakers either through the CN’s master-apprentice program or at the immersion school.,,ᎤᎵᏍᎨᏓ ᎠᏎᎸᎢ ᎾᏍᎩ Paden ᎠᎴ ᏗᏐᎢ ᏗᎦᏬᏂᎯᏍᏗ ᏓᏂᏂᎳᏕ ᎤᏂᎾᏄᎪᏫᏍᏗ ᏣᎳᎩ ᎠᏂᏬᏂᏍᎩ ᎾᎿ ᎯᎠ CN’S ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎤᎾᏓᏂᎳᎨᎢ ᏧᎾᏕᎶᏆᏍᏗᎢ ᎤᎾᏙᏢᏒ ᎠᎴ ᎾᎿ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎠᏂᏫᏒᏍᎩ ᏧᎾᏕᎶᏆᏍᏗᎢ.,
,,"“There’s less than 2,000 speakers,” Paden said.",,"“ᎠᏂᎦᏲᏟ ᎾᏃ 2,000 ᏣᎳᎩ ᎠᏂᏬᏂᏍᎩ,” ᎠᏗᏍᎬᎢ Paden.",
,,“We lost 150 of them last year.,,“ᏙᎩᏲᎱᏎᎵ 150 ᏯᏂᎢ ᎡᏔ ᏥᎨᏒ.,
,,We’re trying to build as many speakers as we can and to the highest level.”,,ᎣᏣᏁᎶᏗ ᎢᎦᎢᏊ ᎨᏒ ᏣᎳᎩ ᎠᏂᏬᏂᏍᎩ ᏳᎾᎵᏍᏙᏗ ᎠᎴ ᏩᎦᎸᎳᏗᏴ ᎢᎬᏩᎵᏍᏙᏗ ᎨᏒᎢ.”,
,,Immersion school students are introduced to the Cherokee language at an early age.,,ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎠᏂᏫᏒᏍᎩ ᏧᎾᏕᎶᏆᏍᏗ ᏗᎾᏕᎶᏆᏍᎩ ᎾᏍᎩ ᎨᎨᏲᎲᏍᎪ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎢᎬᏱ ᎢᏊ ᏳᎾᎴᏅᎯ ᏓᎾᏕᎶᏆᏍᎬᎢ.,
