verb,person,tense,form,form (JW),notes
bend (something),1s,immpast,jìì.yvvhkwitv́ʔv̀ka,ji²¹.yv²²hkwi²tv³ʔv¹ka²,
bend (something),2s,immpast,hi.hyvvhkwitv́ʔv̀ka,hi².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),3s,immpast,àà.hyvvhkwitv́ʔv̀ka,a²¹.hyv²²hkwi²tv³ʔv¹ka²,
bend (something),Id,immpast,ììnii.hyvvhkwitv́ʔv̀ka,i²¹ni²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),Ed,immpast,òòstii.hyvvhkwitv́ʔv̀ka,o²¹sti²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),2d,immpast,stii.hyvvhkwitv́ʔv̀ka,sti²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),Ip,immpast,ììtii.hyvvhkwitv́ʔv̀ka,i²¹ti²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),Ep,immpast,òòjii.hyvvhkwitv́ʔv̀ka,o²¹ji²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),2p,immpast,ììjii.hyvvhkwitv́ʔv̀ka,i²¹ji²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),3p,immpast,àànii.hyvvhkwitv́ʔv̀ka,a²¹ni²².hyv²²hkwi²tv³ʔv¹ka²,
bend (something),1s,fut,tajíi.yvvhkwitv́vni,ta²ji³².yv²²hkwi²tv³²ni²,
bend (something),2s,fut,thi.hyv́v́hkwitv̀v̀ni,thi².hyv³³hkwi²tv²¹ni²,
bend (something),3s,fut,tvv.hyv́v́hkwitv̀v̀ni,tv²².hyv³³hkwi²tv²¹ni²,
bend (something),Id,fut,tàànií.hyv́v́hkwitv̀v̀ni,ta²¹ni²³.hyv³³hkwi²tv²¹ni²,
bend (something),Ed,fut,tayoóstíí.hyvvhkwitv̀v̀ni,ta²yo²³sti³³.hyv²²hkwi²tv²¹ni²,
bend (something),2d,fut,tastií.hyv́v́hkwitv̀v̀ni,ta²sti²³.hyv³³hkwi²tv²¹ni²,
bend (something),Ip,fut,tààtií.hyv́v́hkwitv̀v̀ni,ta²¹ti²³.hyv³³hkwi²tv²¹ni²,
bend (something),Ep,fut,tayoójíí.hyvvhkwitv̀v̀ni,ta²yo²³ji³³.hyv²²hkwi²tv²¹ni²,
bend (something),2p,fut,tààjií.hyv́v́hkwitv̀v̀ni,ta²¹ji²³.hyv³³hkwi²tv²¹ni²,
bend (something),3p,fut,tvvníí.hyvvhkwitv̀v̀ni,tv²²ni³³.hyv²²hkwi²tv²¹ni²,
bend (something),1s,inf,aki.yvhkwitv̀v̀ti,a²ki².yv²hkwi²tv²¹ti²,(akhiyvhkwitv̀v̀ti)
bend (something),2s,inf,ja.yvhkwitv̀v̀ti,ja².yv²hkwi²tv²¹ti²,(chayvhkwitv̀v̀ti)
bend (something),3s,inf,ùù.hyvhkwitv̀v̀ti,u²¹.hyv²hkwi²tv²¹ti²,
