verb,person,tense,form,form (JW),notes
comb one's hair,3s,presimp,w.áálhthawoója,w.a³³lhtha²wo²³ja²,
comb one's hair,Id,presimp,tììn.áálhthawoója,ti²¹n.a³³lhtha²wo²³ja²,
comb one's hair,Ed,presimp,witoóst.áálhthawoója,wi²to²³st.a³³lhtha²wo²³ja²,
comb one's hair,2d,presimp,tist.áálhthawoója,ti²st.a³³lhtha²wo²³ja²,
comb one's hair,Ip,presimp,tììt.áálhthawoója,ti²¹t.a³³lhtha²wo²³ja²,
comb one's hair,Ep,presimp,witoój.áálhthawoója,wi²to²³j.a³³lhtha²wo²³ja²,
comb one's hair,2p,presimp,tììj.áálhthawoója,ti²¹j.a³³lhtha²wo²³ja²,
comb one's hair,3p,presimp,witan.áálhthawoója,wi²ta²n.a³³lhtha²wo²³ja²,
comb one's hair,1s,futimp,k.alììthawóóʔvvʔi,k.a²li²¹tha²wo³³ʔv²²ʔi²,
comb one's hair,2s,futimp,h.aalhthawóóʔvvʔi,h.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,3s,futimp,àà.lhthawóóʔvvʔi,a²¹.lhtha²wo³³ʔv²²ʔi²,
comb one's hair,Id,futimp,téén.aalhthawóóʔvvʔi,te³³n.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,Ed,futimp,tòòst.aalhthawóóʔvvʔi,to²¹st.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,2d,futimp,teest.áálhthawóóʔvvʔi,te²²st.a³³lhtha²wo³³ʔv²²ʔi²,
comb one's hair,Ip,futimp,téét.aalhthawóóʔvvʔi,te³³t.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,Ep,futimp,tòòj.aalhthawóóʔvvʔi,to²¹j.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,2p,futimp,tééj.aalhthawóóʔvvʔi,te³³j.a²²lhtha²wo³³ʔv²²ʔi²,
comb one's hair,3p,futimp,tààn.aalhthawóóʔvvʔi,ta²¹n.a²²lhtha²wo³³ʔv²²ʔi²,
cook (a meal),1s,pres,k.atààstáayvvhv́ska,k.a²ta²¹sta³²yv²²hv³ska²,
cook (a meal),2s,pres,h.ataastáayvvhv́ska,h.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),3s,pres,àà.taastáayvvhv́ska,a²¹.ta²²sta³²yv²²hv³ska²,
cook (a meal),Id,pres,ììn.ataastáayvvhv́ska,i²¹n.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),Ed,pres,òòst.ataastáayvvhv́ska,o²¹st.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),2d,pres,st.ataastáayvvhv́ska,st.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),Ip,pres,ììt.ataastáayvvhv́ska,i²¹t.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),Ep,pres,òòj.ataastáayvvhv́ska,o²¹j.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),2p,pres,ììj.ataastáayvvhv́ska,i²¹j.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),3p,pres,ààn.ataastáayvvhv́ska,a²¹n.a²ta²²sta³²yv²²hv³ska²,
cook (a meal),1s,hab,k.atààstáayvvhvskóóʔi,k.a²ta²¹sta³²yv²²hv²sko³³ʔi²,
cook (a meal),2s,hab,h.ataastáayvvhvskóóʔi,h.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),3s,hab,àà.taastáayvvhvskóóʔi,a²¹.ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),Id,hab,ììn.ataastáayvvhvskóóʔi,i²¹n.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),Ed,hab,òòst.ataastáayvvhvskóóʔi,o²¹st.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),2d,hab,st.ataastáayvvhvskóóʔi,st.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),Ip,hab,ììt.ataastáayvvhvskóóʔi,i²¹t.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),Ep,hab,òòj.ataastáayvvhvskóóʔi,o²¹j.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),2p,hab,ììj.ataastáayvvhvskóóʔi,i²¹j.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),3p,hab,ààn.ataastáayvvhvskóóʔi,a²¹n.a²ta²²sta³²yv²²hv²sko³³ʔi²,
cook (a meal),1s,rempast,ààkw.ataastáayvvhnvv́ʔi,a²¹kw.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),2s,rempast,j.ataastáayvvhnvv́ʔi,j.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),3s,rempast,ùù.taastáayvvhnvv́ʔi,u²¹.ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),Id,rempast,kin.ataastáayvvhnvv́ʔi,ki²n.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),Ed,rempast,òòkin.ataastáayvvhnvv́ʔi,o²¹ki²n.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),2d,rempast,st.ataastáayvvhnvv́ʔi,st.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),Ip,rempast,ììk.ataastáayvvhnvv́ʔi,i²¹k.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),Ep,rempast,òòk.ataastáayvvhnvv́ʔi,o²¹k.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),2p,rempast,ììj.ataastáayvvhnvv́ʔi,i²¹j.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),3p,rempast,ùùn.ataastáayvvhnvv́ʔi,u²¹n.a²ta²²sta³²yv²²hnv²³ʔi²,
cook (a meal),1s,reppast,ààkw.ataastáayvvhnééʔi,a²¹kw.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),2s,reppast,j.ataastáayvvhnééʔi,j.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),3s,reppast,ùù.taastáayvvhnééʔi,u²¹.ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),Id,reppast,kin.ataastáayvvhnééʔi,ki²n.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),Ed,reppast,òòkin.ataastáayvvhnééʔi,o²¹ki²n.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),2d,reppast,st.ataastáayvvhnééʔi,st.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),Ip,reppast,ììk.ataastáayvvhnééʔi,i²¹k.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),Ep,reppast,òòk.aataastáayvvhnééʔi,o²¹k.a²²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),2p,reppast,ììj.ataastáayvvhnééʔi,i²¹j.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),3p,reppast,ùùn.ataastáayvvhnééʔi,u²¹n.a²ta²²sta³²yv²²hne³³ʔi²,
cook (a meal),1s,immpast,k.atààstáayvvhv́vka,k.a²ta²¹sta³²yv²²hv³²ka²,
cook (a meal),2s,immpast,h.ataastáayvvhv́vka,h.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),3s,immpast,àà.taastáayvvhv́vka,a²¹.ta²²sta³²yv²²hv³²ka²,
cook (a meal),Id,immpast,ììn.ataastáayvvhv́vka,i²¹n.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),Ed,immpast,òòst.ataastáayvvhv́vka,o²¹st.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),2d,immpast,st.ataastáayvvhv́vka,st.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),Ip,immpast,ììt.ataastáayvvhv́vka,i²¹t.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),Ep,immpast,òòj.ataastáayvvhv́vka,o²¹j.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),2p,immpast,ììj.ataastáayvvhv́vka,i²¹j.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),3p,immpast,ààn.ataastáayvvhv́vka,a²¹n.a²ta²²sta³²yv²²hv³²ka²,
cook (a meal),1s,fut,tak.atáastáayvvhni,ta²k.a²ta³²sta³²yv²²hni²,
cook (a meal),2s,fut,th.atáástààyvvhni,th.a²ta³³sta²¹yv²²hni²,
cook (a meal),3s,fut,tvv.táástààyvvhni,tv²².ta³³sta²¹yv²²hni²,
cook (a meal),Id,fut,tààn.atáástààyvvhni,ta²¹n.a²ta³³sta²¹yv²²hni²,
cook (a meal),Ed,fut,tayoóst.átaastààyvvhni,ta²yo²³st.a³ta²²sta²¹yv²²hni²,
cook (a meal),2d,fut,tast.atáástààyvvhni,ta²st.a²ta³³sta²¹yv²²hni²,
cook (a meal),Ip,fut,tààt.atáástààyvvhni,ta²¹t.a²ta³³sta²¹yv²²hni²,
cook (a meal),Ep,fut,tayoój.átaastààyvvhni,ta²yo²³j.a³ta²²sta²¹yv²²hni²,
cook (a meal),2p,fut,tààj.atáástààyvvhni,ta²¹j.a²ta³³sta²¹yv²²hni²,
cook (a meal),3p,fut,tvvn.átaastààyvvhni,tv²²n.a³ta²²sta²¹yv²²hni²,
cook (a meal),1s,inf,akw.ataastààyhti,a²kw.a²ta²²sta²¹yhti²,
cook (a meal),2s,inf,j.ataastààyhti,j.a²ta²²sta²¹yhti²,
cook (a meal),3s,inf,uu.taastààyhti,u²².ta²²sta²¹yhti²,
cook (a meal),Id,inf,kin.ataastààyhti,ki²n.a²ta²²sta²¹yhti²,
cook (a meal),Ed,inf,ookin.ataastààyhti,o²²ki²n.a²ta²²sta²¹yhti²,
cook (a meal),2d,inf,st.ataastààyhti,st.a²ta²²sta²¹yhti²,
cook (a meal),Ip,inf,ììk.ataastààyhti,i²¹k.a²ta²²sta²¹yhti²,
cook (a meal),Ep,inf,ook.ataastààyhti,o²²k.a²ta²²sta²¹yhti²,
cook (a meal),2p,inf,ììj.ataastààyhti,i²¹j.a²ta²²sta²¹yhti²,
cook (a meal),3p,inf,uun.ataastààyhti,u²²n.a²ta²²sta²¹yhti²,
cook (a meal),1s,presimp,k.atáastáayvvhv́vka,k.a²ta³²sta³²yv²²hv³²ka²,
cook (a meal),2s,presimp,h.ataastààyvvhv̀v̀ka,h.a²ta²²sta²¹yv²²hv²¹ka²,
cook (a meal),3s,presimp,w.atáástààyvvhv́vka,w.a²ta³³sta²¹yv²²hv³²ka²,
cook (a meal),Id,presimp,ììn.atáástààyvvhv́vka,i²¹n.a²ta³³sta²¹yv²²hv³²ka²,
cook (a meal),Ed,presimp,woost.átaastààyvvhv́vka,wo²²st.a³ta²²sta²¹yv²²hv³²ka²,
cook (a meal),2d,presimp,st.ataastààyvvhv̀v̀ka,st.a²ta²²sta²¹yv²²hv²¹ka²,
cook (a meal),Ip,presimp,ììt.atáástààyvvhv́vka,i²¹t.a²ta³³sta²¹yv²²hv³²ka²,
cook (a meal),Ep,presimp,wooj.átaastààyvvhv́vka,wo²²j.a³ta²²sta²¹yv²²hv³²ka²,
cook (a meal),2p,presimp,ììj.ataastààyvvhv̀v̀ka,i²¹j.a²ta²²sta²¹yv²²hv²¹ka²,
cook (a meal),3p,presimp,wan.átaastààyvvhv́vka,wa²n.a³ta²²sta²¹yv²²hv³²ka²,
cook (a meal),1s,futimp,k.atààstáayvvhnvvʔi,k.a²ta²¹sta³²yv²²hnv²²ʔi²,
cook (a meal),2s,futimp,h.ataastáayvvhnvvʔi,h.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),3s,futimp,àà.taastáayvvhnvvʔi,a²¹.ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),Id,futimp,ììn.ataastáayvvhnvvʔi,i²¹n.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),Ed,futimp,òòst.ataastáayvvhnvvʔi,o²¹st.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),2d,futimp,st.ataastáayvvhnvvʔi,st.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),Ip,futimp,ììt.ataastáayvvhnvvʔi,i²¹t.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),Ep,futimp,òòj.ataastáayvvhnvvʔi,o²¹j.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),2p,futimp,ììj.ataastáayvvhnvvʔi,i²¹j.a²ta²²sta³²yv²²hnv²²ʔi²,
cook (a meal),3p,futimp,ààn.ataastáayvvhnvvʔi,a²¹n.a²ta²²sta³²yv²²hnv²²ʔi²,
"drink, ingest (liquid)",1s,pres,k.atììtháska,k.a²ti²¹tha³ska²,
"drink, ingest (liquid)",2s,pres,h.atiitháska,h.a²ti²²tha³ska²,
"drink, ingest (liquid)",3s,pres,àà.tiitháska,a²¹.ti²²tha³ska²,
"drink, ingest (liquid)",Id,pres,ììn.atiitháska,i²¹n.a²ti²²tha³ska²,
"drink, ingest (liquid)",Ed,pres,òòst.atiitháska,o²¹st.a²ti²²tha³ska²,
"drink, ingest (liquid)",2d,pres,st.atiitháska,st.a²ti²²tha³ska²,
"drink, ingest (liquid)",Ip,pres,ììt.atiitháska,i²¹t.a²ti²²tha³ska²,
"drink, ingest (liquid)",Ep,pres,òòj.atiitháska,o²¹j.a²ti²²tha³ska²,
"drink, ingest (liquid)",2p,pres,ììj.atiitháska,i²¹j.a²ti²²tha³ska²,
"drink, ingest (liquid)",3p,pres,ààn.atiitháska,a²¹n.a²ti²²tha³ska²,
"drink, ingest (liquid)",1s,hab,k.atììthaskóóʔi,k.a²ti²¹tha²sko³³ʔi²,
"drink, ingest (liquid)",2s,hab,h.atithaskóóʔi,h.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",3s,hab,àà.tithaskóóʔi,a²¹.ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",Id,hab,ììn.atithaskóóʔi,i²¹n.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",Ed,hab,òòst.atithaskóóʔi,o²¹st.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",2d,hab,st.atithaskóóʔi,st.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",Ip,hab,ììt.atithaskóóʔi,i²¹t.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",Ep,hab,òòj.atithaskóóʔi,o²¹j.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",2p,hab,ììj.atithaskóóʔi,i²¹j.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",3p,hab,ààn.atithaskóóʔi,a²¹n.a²ti²tha²sko³³ʔi²,
"drink, ingest (liquid)",1s,rempast,ààkw.atiithahvv́ʔi,a²¹kw.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",2s,rempast,j.atiithahvv́ʔi,j.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",3s,rempast,ùù.tiithahvv́ʔi,u²¹.ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",Id,rempast,kin.atiithahvv́ʔi,ki²n.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",Ed,rempast,òòkin.atiithahvv́ʔi,o²¹ki²n.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",2d,rempast,st.atiithahvv́ʔi,st.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",Ip,rempast,ììk.atiithahvv́ʔi,i²¹k.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",Ep,rempast,òòk.atiithahvv́ʔi,o²¹k.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",2p,rempast,ììj.atiithahvv́ʔi,i²¹j.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",3p,rempast,ùùn.atiithahvv́ʔi,u²¹n.a²ti²²tha²hv²³ʔi²,
"drink, ingest (liquid)",1s,reppast,ààkw.atiithahééʔi,a²¹kw.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",2s,reppast,j.atiithahééʔi,j.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",3s,reppast,ùù.tiithahééʔi,u²¹.ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",Id,reppast,kin.atiithahééʔi,ki²n.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",Ed,reppast,òòkin.atiithahééʔi,o²¹ki²n.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",2d,reppast,st.atiithahééʔi,st.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",Ip,reppast,ììk.atiithahééʔi,i²¹k.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",Ep,reppast,òòk.atiithahééʔi,o²¹k.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",2p,reppast,ììj.atiithahééʔi,i²¹j.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",3p,reppast,ùùn.atiithahééʔi,u²¹n.a²ti²²tha²he³³ʔi²,
"drink, ingest (liquid)",1s,immpast,k.atíítha,k.a²ti³³tha²,
"drink, ingest (liquid)",2s,immpast,h.atiítha,h.a²ti²³tha²,
"drink, ingest (liquid)",3s,immpast,àà.tiítha,a²¹.ti²³tha²,
"drink, ingest (liquid)",Id,immpast,ììn.atiítha,i²¹n.a²ti²³tha²,
"drink, ingest (liquid)",Ed,immpast,òòst.atiítha,o²¹st.a²ti²³tha²,
"drink, ingest (liquid)",2d,immpast,st.atiítha,st.a²ti²³tha²,
"drink, ingest (liquid)",Ip,immpast,ììt.atiítha,i²¹t.a²ti²³tha²,
"drink, ingest (liquid)",Ep,immpast,òòj.atiítha,o²¹j.a²ti²³tha²,
"drink, ingest (liquid)",2p,immpast,ììj.atiítha,i²¹j.a²ti²³tha²,
"drink, ingest (liquid)",3p,immpast,ààn.atiítha,a²¹n.a²ti²³tha²,
"drink, ingest (liquid)",1s,fut,tak.atíitháhi,ta²k.a²ti³²tha³hi²,
"drink, ingest (liquid)",2s,fut,th.atííthahi,th.a²ti³³tha²hi²,
"drink, ingest (liquid)",3s,fut,tvv́.tííthahi,tv²³.ti³³tha²hi²,
"drink, ingest (liquid)",Id,fut,tààn.atííthahi,ta²¹n.a²ti³³tha²hi²,
"drink, ingest (liquid)",Ed,fut,tayoóst.átiithahi,ta²yo²³st.a³ti²²tha²hi²,
"drink, ingest (liquid)",2d,fut,tast.atííthahi,ta²st.a²ti³³tha²hi²,
"drink, ingest (liquid)",Ip,fut,tààt.atííthahi,ta²¹t.a²ti³³tha²hi²,
"drink, ingest (liquid)",Ep,fut,tayoój.átiithahi,ta²yo²³j.a³ti²²tha²hi²,
"drink, ingest (liquid)",2p,fut,tààj.atííthahi,ta²¹j.a²ti³³tha²hi²,
"drink, ingest (liquid)",3p,fut,tvv́n.átiithahi,tv²³n.a³ti²²tha²hi²,
"drink, ingest (liquid)",1s,inf,akw.atiithasti,a²kw.a²ti²²tha²sti²,
"drink, ingest (liquid)",2s,inf,j.atiithasti,j.a²ti²²tha²sti²,
"drink, ingest (liquid)",3s,inf,uu.tiithasti,u²².ti²²tha²sti²,
"drink, ingest (liquid)",Id,inf,kin.atiithasti,ki²n.a²ti²²tha²sti²,
"drink, ingest (liquid)",Ed,inf,ookin.atiithasti,o²²ki²n.a²ti²²tha²sti²,
"drink, ingest (liquid)",2d,inf,st.atiithasti,st.a²ti²²tha²sti²,
"drink, ingest (liquid)",Ip,inf,ììk.atiithasti,i²¹k.a²ti²²tha²sti²,
"drink, ingest (liquid)",Ep,inf,ook.atiithasti,o²²k.a²ti²²tha²sti²,
"drink, ingest (liquid)",2p,inf,ììj.atiithasti,i²¹j.a²ti²²tha²sti²,
"drink, ingest (liquid)",3p,inf,uun.atiithasti,u²²n.a²ti²²tha²sti²,
"drink, ingest (liquid)",1s,presimp,k.atíitha,k.a²ti³²tha²,
"drink, ingest (liquid)",2s,presimp,h.atiítha,h.a²ti²³tha²,
"drink, ingest (liquid)",3s,presimp,w.atíítha,w.a²ti³³tha²,
"drink, ingest (liquid)",Id,presimp,ììn.atíítha,i²¹n.a²ti³³tha²,
"drink, ingest (liquid)",Ed,presimp,woóst.átiitha,wo²³st.a³ti²²tha²,
"drink, ingest (liquid)",2d,presimp,st.atiítha,st.a²ti²³tha²,
"drink, ingest (liquid)",Ip,presimp,ììt.atíítha,i²¹t.a²ti³³tha²,
"drink, ingest (liquid)",Ep,presimp,woój.átiitha,wo²³j.a³ti²²tha²,
"drink, ingest (liquid)",2p,presimp,ììj.atiítha,i²¹j.a²ti²³tha²,
"drink, ingest (liquid)",3p,presimp,wan.átiitha,wa²n.a³ti²²tha²,
"drink, ingest (liquid)",1s,futimp,k.atììthahvvʔi,k.a²ti²¹tha²hv²²ʔi²,
"drink, ingest (liquid)",2s,futimp,h.atiithahvvʔi,h.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",3s,futimp,àà.tiithahvvʔi,a²¹.ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",Id,futimp,ììn.atiithahvvʔi,i²¹n.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",Ed,futimp,òòst.atiithahvvʔi,o²¹st.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",2d,futimp,st.atiithahvvʔi,st.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",Ip,futimp,ììt.atiithahvvʔi,i²¹t.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",Ep,futimp,òòj.atiithahvvʔi,o²¹j.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",2p,futimp,ììj.atiithahvvʔi,i²¹j.a²ti²²tha²hv²²ʔi²,
"drink, ingest (liquid)",3p,futimp,ààn.atiithahvvʔi,a²¹n.a²ti²²tha²hv²²ʔi²,
drop something (animate),1s,pres,jiiy.atóónhtíha,ji²²y.a²to³³nhti³ha²,
drop something (animate),2s,pres,hiiy.atóónhtíha,hi²²y.a²to³³nhti³ha²,
drop something (animate),3s,pres,k.atóónhtíha,k.a²to³³nhti³ha²,
drop something (animate),Id,pres,èèn.atóónhtíha,e²¹n.a²to³³nhti³ha²,
drop something (animate),Ed,pres,òòst.atóónhtíha,o²¹st.a²to³³nhti³ha²,
drop something (animate),2d,pres,èèst.atóónhtíha,e²¹st.a²to³³nhti³ha²,
drop something (animate),Ip,pres,èèt.atóónhtíha,e²¹t.a²to³³nhti³ha²,
drop something (animate),Ep,pres,òòj.atóónhtíha,o²¹j.a²to³³nhti³ha²,
drop something (animate),2p,pres,èèj.atóónhtíha,e²¹j.a²to³³nhti³ha²,
drop something (animate),3p,pres,ààn.atóónhtíha,a²¹n.a²to³³nhti³ha²,
drop something (animate),1s,hab,jiiy.atónhtiiskóʔi,ji²²y.a²to³nhti²²sko³ʔi²,
drop something (animate),2s,hab,hiiy.atónhtiiskóʔi,hi²²y.a²to³nhti²²sko³ʔi²,
drop something (animate),3s,hab,k.atónhtiiskóʔi,k.a²to³nhti²²sko³ʔi²,
drop something (animate),Id,hab,èèn.atónhtiiskóʔi,e²¹n.a²to³nhti²²sko³ʔi²,
drop something (animate),Ed,hab,òòst.atónhtiiskóʔi,o²¹st.a²to³nhti²²sko³ʔi²,
drop something (animate),2d,hab,èèst.atónhtiiskóʔi,e²¹st.a²to³nhti²²sko³ʔi²,
drop something (animate),Ip,hab,èèt.atónhtiiskóʔi,e²¹t.a²to³nhti²²sko³ʔi²,
drop something (animate),Ep,hab,òòj.atónhtiiskóʔi,o²¹j.a²to³nhti²²sko³ʔi²,
drop something (animate),2p,hab,èèj.atónhtiiskóʔi,e²¹j.a²to³nhti²²sko³ʔi²,
drop something (animate),3p,hab,ààn.atónhtiiskóʔi,a²¹n.a²to³nhti²²sko³ʔi²,
drop something (animate),1s,rempast,jiiy.atóónhthanvvʔi,ji²²y.a²to³³nhtha²nv²²ʔi²,
drop something (animate),2s,rempast,hiiy.atóónhthanvvʔi,hi²²y.a²to³³nhtha²nv²²ʔi²,
drop something (animate),3s,rempast,ùù.tóónhtíha,u²¹.to³³nhti³ha²,
drop something (animate),Id,rempast,èèn.atóónhthanvvʔi,e²¹n.a²to³³nhtha²nv²²ʔi²,
drop something (animate),Ed,rempast,òòst.atóónhthanvvʔi,o²¹st.a²to³³nhtha²nv²²ʔi²,
drop something (animate),2d,rempast,èèst.atóónhthanvvʔi,e²¹st.a²to³³nhtha²nv²²ʔi²,
drop something (animate),Ip,rempast,èèt.atóónhthanvvʔi,e²¹t.a²to³³nhtha²nv²²ʔi²,
drop something (animate),Ep,rempast,òòj.atóónhthanvvʔi,o²¹j.a²to³³nhtha²nv²²ʔi²,
drop something (animate),2p,rempast,èèj.atóónhthanvvʔi,e²¹j.a²to³³nhtha²nv²²ʔi²,
drop something (animate),3p,rempast,ùùn.atóónhthanvvʔi,u²¹n.a²to³³nhtha²nv²²ʔi²,
drop something (animate),1s,reppast,jiiy.atóónhthanééʔi,ji²²y.a²to³³nhtha²ne³³ʔi²,
drop something (animate),2s,reppast,hiiy.atóónhthanééʔi,hi²²y.a²to³³nhtha²ne³³ʔi²,
drop something (animate),3s,reppast,ùù.tóónhthanééʔi,u²¹.to³³nhtha²ne³³ʔi²,
drop something (animate),Id,reppast,èèn.atóónhthanééʔi,e²¹n.a²to³³nhtha²ne³³ʔi²,
drop something (animate),Ed,reppast,òòst.atóónhthanééʔi,o²¹st.a²to³³nhtha²ne³³ʔi²,
drop something (animate),2d,reppast,èèst.atóónhthanééʔi,e²¹st.a²to³³nhtha²ne³³ʔi²,
drop something (animate),Ip,reppast,èèt.atóónhthanééʔi,e²¹t.a²to³³nhtha²ne³³ʔi²,
drop something (animate),Ep,reppast,òòj.atóónhthanééʔi,o²¹j.a²to³³nhtha²ne³³ʔi²,
drop something (animate),2p,reppast,èèj.atóónhthanééʔi,e²¹j.a²to³³nhtha²ne³³ʔi²,
drop something (animate),3p,reppast,ùùn.atóónhthanééʔi,u²¹n.a²to³³nhtha²ne³³ʔi²,
drop something (animate),1s,immpast,jiiy.atóónhta,ji²²y.a²to³³nhta²,
drop something (animate),2s,immpast,hiiy.atóónhta,hi²²y.a²to³³nhta²,
drop something (animate),3s,immpast,k.atóónhta,k.a²to³³nhta²,
drop something (animate),Id,immpast,èèn.atóónhta,e²¹n.a²to³³nhta²,
drop something (animate),Ed,immpast,òòst.atóónhta,o²¹st.a²to³³nhta²,
drop something (animate),2d,immpast,èèst.atóónhta,e²¹st.a²to³³nhta²,
drop something (animate),Ip,immpast,èèt.atóónhta,e²¹t.a²to³³nhta²,
drop something (animate),Ep,immpast,òòj.atóónhta,o²¹j.a²to³³nhta²,
drop something (animate),2p,immpast,èèj.atóónhta,e²¹j.a²to³³nhta²,
drop something (animate),3p,immpast,ààn.atóónhta,a²¹n.a²to³³nhta²,
drop something (animate),1s,fut,tajiiy.átòònhthani,ta²ji²²y.a³to²¹nhtha²ni²,
drop something (animate),2s,fut,thiiy.átòònhthani,thi²²y.a³to²¹nhtha²ni²,
drop something (animate),3s,fut,tak.atóonhthani,ta²k.a²to³²nhtha²ni²,
drop something (animate),Id,fut,tayeen.átòònhthani,ta²ye²²n.a³to²¹nhtha²ni²,
drop something (animate),Ed,fut,tayoost.átòònhthani,ta²yo²²st.a³to²¹nhtha²ni²,
drop something (animate),2d,fut,tayeest.átòònhthani,ta²ye²²st.a³to²¹nhtha²ni²,
drop something (animate),Ip,fut,tayeet.átòònhthani,ta²ye²²t.a³to²¹nhtha²ni²,
drop something (animate),Ep,fut,tayooj.átòònhthani,ta²yo²²j.a³to²¹nhtha²ni²,
drop something (animate),2p,fut,tayeej.átòònhthani,ta²ye²²j.a³to²¹nhtha²ni²,
drop something (animate),3p,fut,tvvn.átòònhthani,tv²²n.a³to²¹nhtha²ni²,
